0.00302	0.50330	0.00302	0.50330
0.00304	0.42722	0.00304	0.42725
0.00306	0.33301	0.00306	0.33301
0.00308	0.22479	0.00308	0.22476
0.00311	0.10962	0.00311	0.10962
0.00313	-0.00354	0.00313	-0.00354
0.00315	-0.10916	0.00315	-0.10916
0.00317	-0.19681	0.00317	-0.19681
0.00320	-0.25671	0.00320	-0.25671
0.00322	-0.28452	0.00322	-0.28452
0.00324	-0.27591	0.00324	-0.27588
0.00327	-0.23364	0.00327	-0.23361
0.00329	-0.16370	0.00329	-0.16370
0.00331	-0.07397	0.00331	-0.07397
0.00333	0.02759	0.00333	0.02762
0.00336	0.13483	0.00336	0.13486
0.00338	0.24033	0.00338	0.24033
0.00340	0.33780	0.00340	0.33780
0.00342	0.41922	0.00342	0.41919
0.00345	0.47705	0.00345	0.47708
0.00347	0.50275	0.00347	0.50275
0.00349	0.49188	0.00349	0.49188
0.00351	0.44531	0.00351	0.44531
0.00354	0.36594	0.00354	0.36594
0.00356	0.26376	0.00356	0.26373
0.00358	0.14746	0.00358	0.14746
0.00361	0.02521	0.00361	0.02518
0.00363	-0.09277	0.00363	-0.09277
0.00365	-0.20013	0.00365	-0.20013
0.00367	-0.29272	0.00367	-0.29272
0.00370	-0.36267	0.00370	-0.36267
0.00372	-0.40436	0.00372	-0.40439
0.00374	-0.41391	0.00374	-0.41388
0.00376	-0.38766	0.00376	-0.38766
0.00379	-0.32910	0.00379	-0.32913
0.00381	-0.24344	0.00381	-0.24341
0.00383	-0.14056	0.00383	-0.14056
0.00385	-0.03033	0.00385	-0.03033
0.00388	0.07748	0.00388	0.07742
0.00390	0.17212	0.00390	0.17215
0.00392	0.25134	0.00392	0.25134
0.00395	0.30817	0.00395	0.30817
0.00397	0.33737	0.00397	0.33737
0.00399	0.33777	0.00399	0.33780
0.00401	0.30530	0.00401	0.30530
0.00404	0.24033	0.00404	0.24033
0.00406	0.14755	0.00406	0.14752
0.00408	0.03314	0.00408	0.03311
0.00410	-0.09137	0.00410	-0.09137
0.00413	-0.21359	0.00413	-0.21359
0.00415	-0.32428	0.00415	-0.32428
0.00417	-0.41571	0.00417	-0.41571
0.00420	-0.48355	0.00420	-0.48352
0.00422	-0.52301	0.00422	-0.52298
0.00424	-0.53470	0.00424	-0.53470
0.00426	-0.51767	0.00426	-0.51767
0.00429	-0.46918	0.00429	-0.46915
0.00431	-0.39374	0.00431	-0.39377
0.00433	-0.29514	0.00433	-0.29510
0.00435	-0.18127	0.00435	-0.18130
0.00438	-0.06610	0.00438	-0.06610
0.00440	0.04224	0.00440	0.04224
0.00442	0.13345	0.00442	0.13345
0.00444	0.19836	0.00444	0.19833
0.00447	0.23593	0.00447	0.23596
0.00449	0.24487	0.00449	0.24484
0.00451	0.22424	0.00451	0.22427
0.00454	0.17661	0.00454	0.17661
0.00456	0.10361	0.00456	0.10361
0.00458	0.00827	0.00458	0.00827
0.00460	-0.10107	0.00460	-0.10104
0.00463	-0.21588	0.00463	-0.21591
0.00465	-0.32587	0.00465	-0.32587
0.00467	-0.41977	0.00467	-0.41974
0.00469	-0.48825	0.00469	-0.48822
0.00472	-0.52777	0.00472	-0.52780
0.00474	-0.53619	0.00474	-0.53619
0.00476	-0.51437	0.00476	-0.51437
0.00478	-0.46646	0.00478	-0.46646
0.00481	-0.39413	0.00481	-0.39410
0.00483	-0.30185	0.00483	-0.30185
0.00485	-0.19397	0.00485	-0.19397
0.00488	-0.07770	0.00488	-0.07773
0.00490	0.03720	0.00490	0.03717
0.00492	0.14200	0.00492	0.14200
0.00494	0.22580	0.00494	0.22580
0.00497	0.28061	0.00497	0.28061
0.00499	0.30286	0.00499	0.30289
0.00501	0.29318	0.00501	0.29318
0.00503	0.25476	0.00503	0.25476
0.00506	0.19205	0.00506	0.19208
0.00508	0.11163	0.00508	0.11166
0.00510	0.01791	0.00510	0.01791
0.00512	-0.08429	0.00512	-0.08429
0.00515	-0.18619	0.00515	-0.18622
0.00517	-0.27930	0.00517	-0.27930
0.00519	-0.35590	0.00519	-0.35593
0.00522	-0.40588	0.00522	-0.40591
0.00524	-0.42313	0.00524	-0.42316
0.00526	-0.40759	0.00526	-0.40759
0.00528	-0.36023	0.00528	-0.36020
0.00531	-0.28622	0.00531	-0.28619
0.00533	-0.19278	0.00533	-0.19284
0.00535	-0.08682	0.00535	-0.08682
0.00537	0.02609	0.00537	0.02606
0.00540	0.13840	0.00540	0.13840
0.00542	0.24423	0.00542	0.24426
0.00544	0.33734	0.00544	0.33734
0.00546	0.40683	0.00546	0.40686
0.00549	0.44644	0.00549	0.44647
0.00551	0.45251	0.00551	0.45251
0.00553	0.42407	0.00553	0.42410
0.00556	0.36502	0.00556	0.36502
0.00558	0.28253	0.00558	0.28253
0.00560	0.18680	0.00560	0.18680
0.00562	0.08508	0.00562	0.08505
0.00565	-0.01712	0.00565	-0.01709
0.00567	-0.11063	0.00567	-0.11063
0.00569	-0.19125	0.00569	-0.19125
0.00571	-0.25305	0.00571	-0.25302
0.00574	-0.28784	0.00574	-0.28784
0.00576	-0.29193	0.00576	-0.29196
0.00578	-0.26202	0.00578	-0.26199
0.00580	-0.20010	0.00580	-0.20010
0.00583	-0.11194	0.00583	-0.11194
0.00585	-0.00580	0.00585	-0.00580
0.00587	0.10803	0.00587	0.10800
0.00590	0.22076	0.00590	0.22079
0.00592	0.32443	0.00592	0.32440
0.00594	0.41324	0.00594	0.41321
0.00596	0.48337	0.00596	0.48337
0.00599	0.52756	0.00599	0.52753
0.00601	0.54269	0.00601	0.54269
0.00603	0.52585	0.00603	0.52585
0.00605	0.47394	0.00605	0.47397
0.00608	0.39368	0.00608	0.39368
0.00610	0.29129	0.00610	0.29126
0.00612	0.17621	0.00612	0.17621
0.00615	0.06149	0.00615	0.06149
0.00617	-0.04459	0.00617	-0.04459
0.00619	-0.13440	0.00619	-0.13440
0.00621	-0.20200	0.00621	-0.20200
0.00624	-0.24539	0.00624	-0.24542
0.00626	-0.26184	0.00626	-0.26187
0.00628	-0.24796	0.00628	-0.24796
0.00630	-0.20389	0.00630	-0.20389
0.00633	-0.13074	0.00633	-0.13074
0.00635	-0.03378	0.00635	-0.03378
0.00637	0.07843	0.00637	0.07843
0.00639	0.19562	0.00639	0.19562
0.00642	0.30548	0.00642	0.30551
0.00644	0.39819	0.00644	0.39819
0.00646	0.46686	0.00646	0.46686
0.00649	0.50769	0.00649	0.50772
0.00651	0.51953	0.00651	0.51953
0.00653	0.50153	0.00653	0.50150
0.00655	0.45328	0.00655	0.45328
0.00658	0.37698	0.00658	0.37698
0.00660	0.27640	0.00660	0.27640
0.00662	0.15729	0.00662	0.15729
0.00664	0.03159	0.00664	0.03159
0.00667	-0.09119	0.00667	-0.09116
0.00669	-0.20029	0.00669	-0.20029
0.00671	-0.28384	0.00671	-0.28384
0.00673	-0.33905	0.00673	-0.33905
0.00676	-0.36368	0.00676	-0.36371
0.00678	-0.35742	0.00678	-0.35742
0.00680	-0.32336	0.00680	-0.32336
0.00683	-0.26270	0.00683	-0.26270
0.00685	-0.17886	0.00685	-0.17883
0.00687	-0.07870	0.00687	-0.07874
0.00689	0.03259	0.00689	0.03259
0.00692	0.14441	0.00692	0.14441
0.00694	0.24570	0.00694	0.24570
0.00696	0.32526	0.00696	0.32529
0.00698	0.37549	0.00698	0.37546
0.00701	0.39218	0.00701	0.39221
0.00703	0.37454	0.00703	0.37457
0.00705	0.32736	0.00705	0.32739
0.00707	0.25351	0.00707	0.25351
0.00710	0.15948	0.00710	0.15952
0.00712	0.04901	0.00712	0.04901
0.00714	-0.07162	0.00714	-0.07162
0.00717	-0.19232	0.00717	-0.19235
0.00719	-0.30637	0.00719	-0.30634
0.00721	-0.40137	0.00721	-0.40134
0.00723	-0.46896	0.00723	-0.46896
0.00726	-0.50443	0.00726	-0.50439
0.00728	-0.50339	0.00728	-0.50339
0.00730	-0.46973	0.00730	-0.46973
0.00732	-0.40906	0.00732	-0.40906
0.00735	-0.32748	0.00735	-0.32751
0.00737	-0.23108	0.00737	-0.23105
0.00739	-0.12723	0.00739	-0.12723
0.00741	-0.02145	0.00741	-0.02145
0.00744	0.07993	0.00744	0.07993
0.00746	0.16702	0.00746	0.16702
0.00748	0.23132	0.00748	0.23129
0.00751	0.26501	0.00751	0.26498
0.00753	0.26440	0.00753	0.26440
0.00755	0.22873	0.00755	0.22873
0.00757	0.16345	0.00757	0.16345
0.00760	0.07565	0.00760	0.07565
0.00762	-0.02710	0.00762	-0.02710
0.00764	-0.13544	0.00764	-0.13544
0.00766	-0.24310	0.00766	-0.24307
0.00769	-0.34360	0.00769	-0.34363
0.00771	-0.43185	0.00771	-0.43185
0.00773	-0.49881	0.00773	-0.49884
0.00776	-0.53909	0.00776	-0.53912
0.00778	-0.54846	0.00778	-0.54846
0.00780	-0.52225	0.00780	-0.52225
0.00782	-0.46396	0.00782	-0.46396
0.00785	-0.37943	0.00785	-0.37946
0.00787	-0.27716	0.00787	-0.27719
0.00789	-0.16650	0.00789	-0.16650
0.00791	-0.05615	0.00791	-0.05612
0.00794	0.04745	0.00794	0.04745
0.00796	0.13940	0.00796	0.13940
0.00798	0.21188	0.00798	0.21188
0.00800	0.26065	0.00800	0.26068
0.00803	0.28079	0.00803	0.28079
0.00805	0.26807	0.00805	0.26804
0.00807	0.22330	0.00807	0.22327
0.00810	0.15070	0.00810	0.15070
0.00812	0.05743	0.00812	0.05743
0.00814	-0.04755	0.00814	-0.04758
0.00816	-0.15210	0.00816	-0.15210
0.00819	-0.24872	0.00819	-0.24869
0.00821	-0.33054	0.00821	-0.33054
0.00823	-0.39224	0.00823	-0.39227
0.00825	-0.43127	0.00825	-0.43124
0.00828	-0.44348	0.00828	-0.44351
0.00830	-0.42639	0.00830	-0.42639
0.00832	-0.37976	0.00832	-0.37973
0.00834	-0.30301	0.00834	-0.30298
0.00837	-0.20291	0.00837	-0.20288
0.00839	-0.08817	0.00839	-0.08817
0.00841	0.03223	0.00841	0.03223
0.00844	0.14563	0.00844	0.14563
0.00846	0.24536	0.00846	0.24539
0.00848	0.32382	0.00848	0.32379
0.00850	0.37683	0.00850	0.37680
0.00853	0.40381	0.00853	0.40381
0.00855	0.40356	0.00855	0.40359
0.00857	0.37372	0.00857	0.37369
0.00859	0.31598	0.00859	0.31598
0.00862	0.23438	0.00862	0.23438
0.00864	0.13431	0.00864	0.13431
